lon,lat,thin
113.904083,22.70598355,0.38
113.9047813,22.70565199,0.38
113.9019659,22.69924937,0.38
113.9016448,22.6982891,0.38
113.9003283,22.69936826,0.39
113.9015315,22.69939769,0.39
113.9058051,22.70026253,0.39
113.9026044,22.70025849,0.39
113.8988337,22.700012,0.39
113.8988562,22.70004417,0.39
113.9065963,22.70163728,0.39
113.9047643,22.70139439,0.39
113.9006782,22.7004485,0.39
113.8993013,22.70067764,0.39
113.9045553,22.70169432,0.39
113.9067063,22.70245841,0.39
113.9052877,22.70207489,0.39
113.9030903,22.70168645,0.39
113.9000649,22.70120027,0.39
113.903414,22.70206425,0.39
113.903814,22.7020781,0.39
113.9052213,22.70267936,0.39
113.905131,22.70264887,0.39
113.9037094,22.70237207,0.39
113.9036322,22.70234811,0.39
113.9027338,22.70210647,0.39
113.9015182,22.70194352,0.39
113.9014914,22.70222641,0.39
113.9023103,22.70233141,0.39
113.9029173,22.70254088,0.39
113.903544,22.70277735,0.39
113.9039328,22.70288906,0.39
113.9070336,22.70329265,0.39
113.9006038,22.702653,0.39
113.9070125,22.70409685,0.39
113.9068312,22.70405944,0.39
113.9068058,22.70405187,0.39
113.9067289,22.70403359,0.39
113.9067025,22.70402974,0.39
113.9066762,22.70402625,0.39
113.9064688,22.70398796,0.39
113.906443,22.70398247,0.39
113.9061326,22.7039271,0.39
113.9060512,22.70391694,0.39
113.905892,22.70389564,0.39
113.905866,22.70388862,0.39
113.9058138,22.7038754,0.39
113.9053411,22.70381495,0.39
113.9052113,22.70379023,0.39
113.9044704,22.70356036,0.39
113.904338,22.70354057,0.39
113.9040466,22.70349685,0.39
113.9036508,22.70341785,0.39
113.9032773,22.70338519,0.39
113.9030392,22.70334186,0.39
113.9028873,22.70328631,0.39
113.9027016,22.70327876,0.39
113.9020643,22.70319854,0.39
113.9017741,22.70317132,0.39
113.9016958,22.70316687,0.39
113.9015944,22.70315752,0.39
113.901447,22.70316814,0.39
113.9012842,22.70316351,0.39
113.9012243,22.70333789,0.39
113.9012613,22.7034643,0.39
113.905065,22.70432377,0.39
113.9060473,22.70469519,0.39
113.9057568,22.70464849,0.39
113.9055892,22.70464901,0.39
113.9048793,22.7045888,0.39
113.9034372,22.70436508,0.39
113.9020735,22.70425861,0.39
113.9015444,22.70443916,0.39
113.9017521,22.70452176,0.39
113.9028425,22.70486886,0.39
113.902877,22.70488005,0.39
113.9018848,22.7067299,0.39
113.9021583,22.70676862,0.39
113.904968,22.7049446,0.39
113.9046267,22.70488239,0.39
113.9027478,22.70450369,0.39
113.9015481,22.69936734,0.39
113.9008836,22.69918264,0.39
113.9000252,22.69899396,0.39
113.9053355,22.70711453,0.39
113.902054,22.70585785,0.39
113.905859,22.70633964,0.39
113.9024514,22.70544295,0.39
113.9034701,22.70559774,0.39
113.9077295,22.70581139,0.39
113.9032194,22.70534118,0.39
113.9031946,22.7053391,0.39
113.9017704,22.69830406,0.39
113.9018405,22.69852743,0.39
113.9034956,22.70009789,0.39
113.9030282,22.7057629,0.4
113.9026328,22.70520363,0.4
113.900474,22.70123211,0.4
113.9024528,22.70592742,0.4
113.899532,22.69927295,0.4
113.9001124,22.69960025,0.4
113.9007698,22.69992724,0.4
113.89881,22.69998065,0.4
113.8991726,22.7004982,0.4
113.9008075,22.70079346,0.4
113.9056232,22.70138014,0.4
113.9056949,22.70145763,0.4
113.9035705,22.70128168,0.4
113.9033323,22.70125523,0.4
113.9032617,22.7012548,0.4
113.9032145,22.7012516,0.4
113.9029474,22.70120825,0.4
113.8994845,22.70032115,0.4
113.899671,22.70079134,0.4
113.8998099,22.70081039,0.4
113.9000636,22.70084198,0.4
113.9005237,22.70091739,0.4
113.9042608,22.70169245,0.4
113.9044864,22.70169557,0.4
113.9066744,22.70242514,0.4
113.9047659,22.70202886,0.4
113.9035115,22.70176608,0.4
113.9031699,22.70169024,0.4
113.9018347,22.70174363,0.4
113.9005271,22.70122826,0.4
113.8999361,22.70113889,0.4
113.9009441,22.70130499,0.4
113.9021011,22.7016591,0.4
113.9061339,22.70257207,0.4
113.9068402,22.70288297,0.4
113.9065725,22.7029141,0.4
113.9062924,22.70282244,0.4
113.9054295,22.70275356,0.4
113.9053109,22.70271338,0.4
113.903193,22.7022207,0.4
113.9021735,22.70203921,0.4
113.901137,22.70186171,0.4
113.9007788,22.70178509,0.4
113.899951,22.701689,0.4
113.8998595,22.70181169,0.4
113.8998975,22.70183185,0.4
113.9016335,22.70228385,0.4
113.9016683,22.70228927,0.4
113.9036548,22.70281992,0.4
113.9048365,22.70287427,0.4
113.9067237,22.70322644,0.4
113.9020254,22.7026022,0.4
113.9003118,22.70263484,0.4
113.9011762,22.70272349,0.4
113.9020422,22.70289297,0.4
113.9076068,22.70418478,0.4
113.9075302,22.70417417,0.4
113.9073502,22.70414811,0.4
113.9072987,22.70414119,0.4
113.9063908,22.70397457,0.4
113.9062104,22.70394229,0.4
113.9061847,22.70393671,0.4
113.9060785,22.70391906,0.4
113.905918,22.70390266,0.4
113.9057876,22.70386947,0.4
113.9056573,22.70383944,0.4
113.9056053,22.70382883,0.4
113.9055794,22.70382488,0.4
113.9055529,22.70382202,0.4
113.9054995,22.70381992,0.4
113.9054202,22.70381793,0.4
113.9048826,22.7036758,0.4
113.9048576,22.70366615,0.4
113.9048078,22.70364729,0.4
113.9047575,22.70362961,0.4
113.9046017,22.70358776,0.4
113.904127,22.70350785,0.4
113.90402,22.70349345,0.4
113.9037024,22.70343261,0.4
113.9035718,22.70340367,0.4
113.9035186,22.70339705,0.4
113.9031977,22.70336876,0.4
113.9024879,22.70326342,0.4
113.9021438,22.70320892,0.4
113.9018003,22.7031721,0.4
113.9014183,22.70347201,0.4
113.9015377,22.70347607,0.4
113.9017047,22.7034993,0.4
113.9019704,22.70357788,0.4
113.902005,22.70358934,0.4
113.9021629,22.70362772,0.4
113.9026226,22.7037405,0.4
113.9033675,22.70397184,0.4
113.904375,22.70420607,0.4
113.9044008,22.70420524,0.4
113.904435,22.70420958,0.4
113.9068047,22.70460633,0.4
113.9056451,22.70464943,0.4
113.9020333,22.70432956,0.4
113.901856,22.70456835,0.4
113.9073575,22.70541823,0.4
113.9018473,22.70672318,0.4
113.9056001,22.70724492,0.4
113.9018478,22.70372108,0.4
113.9023679,22.70355505,0.4
113.9030187,22.7034768,0.4
113.9014643,22.69926389,0.4
113.9011918,22.69915195,0.4
113.900817,22.69918529,0.4
113.9004946,22.69904528,0.4
113.9020113,22.70739063,0.4
113.9021938,22.70741881,0.4
113.9028217,22.70750697,0.4
113.9028915,22.70751562,0.4
113.9047511,22.70767634,0.4
113.9024832,22.70652842,0.4
113.90256,22.70654237,0.4
113.9052851,22.70710191,0.4
113.9030556,22.70605447,0.4
113.901908,22.70552827,0.4
113.8999625,22.7052141,0.4
113.9063883,22.70612965,0.4
113.9077798,22.70581634,0.4
113.9076793,22.70580851,0.4
113.9029755,22.70528388,0.4
113.9016593,22.70498583,0.4
113.9019258,22.6992288,0.4
113.9024765,22.6987214,0.4
113.8994992,22.69843019,0.4
113.8993408,22.70069163,0.4
113.9005538,22.70122615,0.4
113.9012175,22.69970214,0.4
113.9008336,22.6996582,0.4
113.9001605,22.69960245,0.4
113.9001115,22.69936497,0.41
113.9002543,22.69937601,0.41
113.900279,22.69937313,0.41
113.9016432,22.69943276,0.41
113.9045348,22.70003651,0.41
113.9002817,22.69960765,0.41
113.9008405,22.70006775,0.41
113.904424,22.70083259,0.41
113.9006191,22.69994793,0.41
113.8996229,22.69964605,0.41
113.8992013,22.70046112,0.41
113.8992622,22.70052807,0.41
113.899285,22.7005541,0.41
113.8993336,22.70060024,0.41
113.8998644,22.70061363,0.41
113.899936,22.7005997,0.41
113.9003597,22.7006486,0.41
113.9005494,22.70071872,0.41
113.9006343,22.7007578,0.41
113.9009663,22.70080322,0.41
113.901102,22.7008235,0.41
113.9027148,22.70097627,0.41
113.9030687,22.70101985,0.41
113.9039263,22.70110509,0.41
113.9062723,22.7016762,0.41
113.9064139,22.70160196,0.41
113.9065888,22.7018515,0.41
113.9065459,22.70184064,0.41
113.9059637,22.70168154,0.41
113.9051288,22.70143497,0.41
113.904911,22.70140942,0.41
113.9048135,22.70139927,0.41
113.9046901,22.70138644,0.41
113.9044665,22.70137074,0.41
113.9031446,22.70124953,0.41
113.9028086,22.70108414,0.41
113.9027892,22.70106644,0.41
113.9025657,22.7008148,0.41
113.902237,22.70073413,0.41
113.901872,22.70059417,0.41
113.9015307,22.70057167,0.41
113.9004677,22.70042137,0.41
113.9003489,22.70040845,0.41
113.9002053,22.70039174,0.41
113.9000862,22.70038036,0.41
113.8998483,22.70035588,0.41
113.8996367,22.70033788,0.41
113.8995472,22.70033246,0.41
113.8994042,22.70032305,0.41
113.8993665,22.70033854,0.41
113.89943,22.70071881,0.41
113.9006992,22.7009726,0.41
113.901112,22.70109562,0.41
113.9012913,22.70118632,0.41
113.9015493,22.70125006,0.41
113.907101,22.70265485,0.41
113.9065782,22.7023583,0.41
113.9065142,22.70232652,0.41
113.9056688,22.70210307,0.41
113.9044792,22.70200185,0.41
113.9042243,22.70195485,0.41
113.9021172,22.70185963,0.41
113.9019537,22.70180934,0.41
113.9016937,22.70167633,0.41
113.9015363,22.70164011,0.41
113.9011074,22.70156802,0.41
113.9007622,22.70122011,0.41
113.9007377,22.70121578,0.41
113.9007123,22.70121389,0.41
113.8996639,22.70108859,0.41
113.8996372,22.70108257,0.41
113.9000352,22.70113023,0.41
113.9007307,22.7012437,0.41
113.900876,22.70127933,0.41
113.900992,22.70131568,0.41
113.9037903,22.70207249,0.41
113.9053671,22.70238807,0.41
113.9055116,22.70242218,0.41
113.9066696,22.70280457,0.41
113.9066702,22.70295881,0.41
113.9065972,22.70292476,0.41
113.9055822,22.7027784,0.41
113.9051775,22.70266202,0.41
113.9050805,22.7026404,0.41
113.9050539,22.70263565,0.41
113.9050002,22.70262688,0.41
113.904705,22.70258784,0.41
113.904441,22.70253902,0.41
113.9043878,22.70253042,0.41
113.9040982,22.70247214,0.41
113.903993,22.70245402,0.41
113.9036837,22.70236342,0.41
113.9033995,22.70228302,0.41
113.9025755,22.70209057,0.41
